source_url,target_url,similarity,reason
https://www.helicone.ai/blog/agentic-rag-full-developer-guide,https://helicone.ai/blog/agentic-rag-full-developer-guide,1.0,High semantic similarity; add contextual link
https://www.helicone.ai/blog/ai-agent-builders,https://helicone.ai/blog/ai-agent-builders,1.0,High semantic similarity; add contextual link
https://www.helicone.ai/blog/ai-agent-builders,https://helicone.ai/blog/crewai-vs-dify-ai,0.8046,High semantic similarity; add contextual link
https://www.helicone.ai/blog/ai-agent-builders,https://www.helicone.ai/blog/full-guide-to-improving-ai-agents,0.6908,High semantic similarity; add contextual link
https://www.helicone.ai/blog/ai-agent-monitoring-tutorial,https://helicone.ai/blog/ai-agent-monitoring-tutorial,1.0,High semantic similarity; add contextual link
https://www.helicone.ai/blog/ai-agent-monitoring-tutorial,https://www.helicone.ai/blog/ai-agent-monitoring-tutorial-2,0.788,High semantic similarity; add contextual link
https://www.helicone.ai/blog/ai-agent-monitoring-tutorial-2,https://helicone.ai/blog/ai-agent-monitoring-tutorial,0.788,High semantic similarity; add contextual link
https://www.helicone.ai/blog/ai-best-practices,https://helicone.ai/blog/ai-best-practices,1.0,High semantic similarity; add contextual link
https://www.helicone.ai/blog/ai-best-practices,https://www.helicone.ai/blog/complete-guide-to-debugging-llm-applications,0.6232,High semantic similarity; add contextual link
https://www.helicone.ai/blog/ai-best-practices,https://www.helicone.ai/blog/essential-helicone-features,0.6177,High semantic similarity; add contextual link
https://www.helicone.ai/blog/ai-safety,https://helicone.ai/blog/ai-safety,1.0,High semantic similarity; add contextual link
https://www.helicone.ai/blog/autoGPT,https://helicone.ai/blog/autoGPT,1.0,High semantic similarity; add contextual link
https://www.helicone.ai/blog/best-arize-alternatives,https://helicone.ai/blog/best-arize-alternatives,1.0,High semantic similarity; add contextual link
https://www.helicone.ai/blog/best-arize-alternatives,https://helicone.ai/blog/best-langsmith-alternatives,0.6688,High semantic similarity; add contextual link
